ID,Price,Condition,Brand,Model,Edition,Operating System,Memory,Network,SIM Support,RAM,No. of Camera,Screen Size,Battery,Processor,Item type,Features,Description
780,118000,Used,Apple,iPhone 14,128GB,iOS,128 GB,5G,,,,,,,,,I phone 14 ( purple color ) 💜 | 12G GB 🧿 | Battery Health 90% ( original battery )❤️‍🔥 | Brand new condition 💯 | Not use sri lankan 💯 | Country J/A 🇯🇵 | All parts Original ✅ | Not replace device 🫶 | True tone ✅ | Face Id ✅ | Ful set box no same imei 🪩 | Price - 1118000( with warranty ) phone to phone 100 day | Software hardware 2 years | සල්ලි හදිස්සියක් නිසා දෙන්නෙ අරන් සති දෙකක් විතර ❤️‍🔥
781,40000,Used,Apple,iPhone X,,Windows,64 GB,4G,Single SIM,3 GB,Dual,5.1 to 6 inches,4000 mAh,,,"USB Type-C Port, Bluetooth, Wifi, GPS","iPhone X for Sale (Excellent Condition) | කිසිදු දෝෂයක් නොමැති, ඉතාමත් හොඳ තත්වයේ පවතින iPhone X දුරකථනයක් විකිණීමට ඇත. | Model: iPhone X | Capacity: 64 GB | Battery Health: 73% (Original Battery) | Condition: 100% Working. කිසිදු සීරීමක් හෝ අවුලක් නොමැත (No scratches or hidden errors). | Price: 40000/= (negotiable) | විශේෂ කරුණු: | Face ID සහ සියලුම Sensors හොඳින් වැඩ කරයි. | Display සහ Body එක අලුත් එකක් වගේම පිරිසිදුව ඇත. | Exchange No: මාරු කරනු නොලැබේ. | Cash Only: මුදලට පමණක් විකුණනු ලැබේ. | වැඩි විස්තර සඳහා අමතන්න: 📞   only whatsup"
782,10000,Used,Apple,iPhone 7,Apple,iOS,128 GB,5G,Single SIM,4 GB,Dual,4 to 5 inches,,,,"Fast Charging, Bluetooth, Wifi, Fingerprint Sensor",Sim witharak dhanna be eakka hadhanna oni eakkata yanawa 5000k thamai
783,25000,Used,Apple,iPhone 8,,iOS,64 GB,4G,Single SIM,,,,,,,,I phone 8 🍎 | Mint condition | Batter health 💯 | Fingerprint✅ | 3U tool report Have✅
784,155000,Used,Apple,iPhone 14 Pro,iPhone 14 Pro 256GB,iOS,256 GB,5G,,,,,,,,"USB Type-C Port, Fast Charging, Flash Charging, Expandable Memory, Bluetooth, Wifi, GPS, Fingerprint Sensor, Infrared port",Not in use Lanka | 256gb | Good condition | Battery health 100% | Full set
785,200000,Used,Apple,iPhone 14 Pro Max,256GB,iOS,,,,,,,,,,,Condition 99% | All parts genuine | No any errors | Original battery & display | Full body sticker attached | Battery 82
786,89800,Used,Apple,iPhone 11 Pro,Apple iphone 11 Pro,iOS,256 GB,4G,Dual SIM,4 GB,Triple,5.1 to 6 inches,,,,"Fast Charging, Bluetooth, Wifi, GPS","📱 Model: iPhone 11 Pro | 💾 Storage: 256GB | 🎨 Color: Midnight Green | 🔋 Battery Health: 93% | 📶 Physical SIM | 🔓 Unlocked | 🇱🇰 Not used in Srilanka | ✨ Condition: 100% Brand New Condition | 🚫 No scratches, no dents, no crashes | ✅ 100% Working Perfectly | One week checking warranty | 3 months software warranty"
787,149000,Used,Apple,iPhone 14 Pro Max,Iphone 14 pro max,iOS,,,,,,,,,,,Iphone 14 Pro Max 512 GB | Condition 100% | Battery 98% | Original battery | All original
788,20000,Used,Apple,,,,,,,,,,,,LCD / AMOLED Displays,,12 pro max original display | Phone ekin galawala denne
789,85000,Used,Apple,iPhone 13,Apple,iOS,128 GB,4G,Dual VoLTE,3 GB,Dual,,,,,,Apple 13 | 128 Gb | With original box | Battery 86% original | 85 LKR
790,20000,Used,Apple,iPhone X,,iOS,64 GB,4G,Single SIM,,Dual,,,,,"Bluetooth, Wifi","Details okkoma kiyawela call dhenda | iPhone X 64gb | Display replaced | Battery 💯 | Face ID error | Sim eka weda karagena thibba hodhatama, dhen town peththata weda game peththata weda ne | Wena kisima aulk ne last price dhaala thiyanne | Kemathi aya kathakaranda"
